agglomeration,Data_year,nombre_pieces_homogene,average_loyer_m2,average_surface,total_nombre_logements,total_nombre_observations
Agglomération de Nice-Menton,2016,Ensemble 4P et plus,11.299999999999999,98.21052631578948,37534.0,12528.0
Agglomération de Nice-Menton,2016,Appart 1P,17.037037037037038,28.925925925925927,106984.0,38312.0
Agglomération de Nice-Menton,2016,Appart 2P,14.374074074074075,46.0,193412.0,64280.0
Agglomération de Nice-Menton,2016,Appart 3P,12.374074074074075,68.55555555555556,145614.0,42368.0
Agglomération de Nice-Menton,2016,Appart 4P et plus,11.284,92.08,50464.0,12280.0
Agglomération de Nice-Menton,2016,Ensemble 1P,17.01904761904762,28.857142857142858,54631.0,28842.0
Agglomération de Nice-Menton,2016,Ensemble 2P,14.385714285714286,46.04761904761905,101494.0,48996.0
Agglomération de Nice-Menton,2016,Ensemble 3P,12.41904761904762,68.80952380952381,81990.0,33444.0
Agglomération de Marseille,2016,Maison 1-3P,10.95,65.7,57728.0,3224.0
Agglomération de Marseille,2016,Maison 4P et plus,11.072727272727272,109.54545454545455,68928.0,5576.0
Agglomération de Marseille,2016,Appart 1P,15.751851851851852,28.74074074074074,108948.0,24424.0
Agglomération de Marseille,2016,Appart 2P,13.322222222222221,44.666666666666664,231792.0,47336.0
Agglomération de Marseille,2016,Appart 3P,11.274074074074074,66.18518518518519,237844.0,41976.0
Agglomération de Marseille,2016,Appart 4P et plus,9.988888888888889,88.22222222222223,123150.0,16432.0
Agglomération d'Aix-Marseille,2016,Maison 1-3P,10.95,65.7,57728.0,3224.0
Agglomération d'Aix-Marseille,2016,Maison 4P et plus,11.072727272727272,109.54545454545455,68928.0,5576.0
Agglomération d'Aix-Marseille,2016,Appart 1P,15.751851851851852,28.74074074074074,108948.0,24424.0
Agglomération d'Aix-Marseille,2016,Appart 2P,13.322222222222221,44.666666666666664,231792.0,47336.0
Agglomération d'Aix-Marseille,2016,Appart 3P,11.274074074074074,66.18518518518519,237844.0,41976.0
Agglomération d'Aix-Marseille,2016,Appart 4P et plus,9.988888888888889,88.22222222222223,123150.0,16432.0
Agglomération d'Arles,2016,Maison 1-3P,9.166666666666666,70.0,3472.0,344.0
